ind_ID	sub_pop_ID	geo_pop_ID
NU_L39496	FB	hudson_complex
NU_L39505	FB	hudson_complex
NU_L39507	FB	hudson_complex
NU_L39509	FB	hudson_complex
NU_L39510	FB	hudson_complex
NU_L39511	FB	hudson_complex
NU_L25434	GB	artic_archipelago
NU_L26017	GB	artic_archipelago
NU_L26063	GB	artic_archipelago
NU_L26084	GB	artic_archipelago
NU_L26088	GB	artic_archipelago
NU_L26090	GB	artic_archipelago
NU_L26091	GB	artic_archipelago
NU_L26252	GB	artic_archipelago
NU_L26353	GB	artic_archipelago
NU_L26460	GB	artic_archipelago
NU_L26461	GB	artic_archipelago
NU_L27882	GB	artic_archipelago
NU_L27922	GB	artic_archipelago
NU_L28670	GB	artic_archipelago
NU_L29458	GB	artic_archipelago
NU_L29465	GB	artic_archipelago
NU_L29480	GB	artic_archipelago
NU_L29634	GB	artic_archipelago
NU_L35109	GB	artic_archipelago
NU_L35378	GB	artic_archipelago
NU_L35468	GB	artic_archipelago
NU_L35470	GB	artic_archipelago
NU_L35471	GB	artic_archipelago
NU_L39333	GB	artic_archipelago
NU_L39337	GB	artic_archipelago
NU_L39396	GB	artic_archipelago
NU_L39397	GB	artic_archipelago
NU_L39401	GB	artic_archipelago
NU_L39478	GB	artic_archipelago
NU_L39678	GB	artic_archipelago
NU_L39680	GB	artic_archipelago
NU_L39685	GB	artic_archipelago
NU_L39754	GB	artic_archipelago
NU_X30022	GB	artic_archipelago
NU_X30247	GB	artic_archipelago
NU_X30289	GB	artic_archipelago
NU_L24594	LS	artic_archipelago
NU_L24763	LS	artic_archipelago
NU_L25528	LS	artic_archipelago
NU_L25583	LS	artic_archipelago
NU_L25947	LS	artic_archipelago
NU_L25958	LS	artic_archipelago
NU_L25960	LS	artic_archipelago
NU_L25962	LS	artic_archipelago
NU_L26052	LS	artic_archipelago
NU_L26207	LS	artic_archipelago
NU_L26285	LS	artic_archipelago
NU_L26657	LS	artic_archipelago
